sku,fullDescription
Q2M-PPFSL4000M,"Ürün Amaç Uyum 
GYEON PPF Serisi Koruyucu Film PPF Slip ile maksimum uyum 
Kaliteli Püskürtme Şişesi Sıvı Uygulaması Homojen ve ince sisleme için 
PPF Raglesi (Squeegee) Sıvı Tahliyesi Hava kabarcıksız, pürüzsüz yüzey 
GYEON Q²M Prep Yüzey Hazırlığı Uygulama öncesi yağ ve kir temizliği 
 
 
Sıkça Sorulan Sorular (FAQ) 
 
Q: Neden bebek şampuanı yerine Q²M PPF Slip kullanmalıyım? 
A: Bebek şampuanları boya, krem ve yumuşatıcılar içerir. Bu maddeler folyo yapıştırıcısının performansını düşürebilir ve zamanla sararmaya neden olabilir. PPF Slip, saf ve yapıştırıcı dostu bir formüle sahiptir. 
Q: Hangi seyreltme oranını kullanmalıyım? 
A: Genel kullanım için 1:100 idealdir. Daha fazla kayganlık istenen sıcak havalarda veya karmaşık panellerde oranı 1:50'ye kadar düşürebilirsiniz. 
Q: Ürün cam filminde de kullanılabilir mi? 
A: PPF Slip, öncelikli olarak PPF yapıştırıcıları için formüle edilmiştir. Cam filmleri için üreticinin kendi montaj solüsyonunu kullanmak en güvenli yöntemdir. 
Q: Artan sıvıyı saklayabilir miyim? 
A: Evet. Seyreltilmiş solüsyonu kapalı bir şişede birkaç hafta boyunca saklayabilirsiniz. 
 
Hava kabarcıklarına, kaymalara ve yapışmayan kenarlara son! Folyoyu kaydır, hizala ve mükemmel yapışmanın keyfini çıkar — profesyonel PPF uygulaması artık daha kolay!"
PPF-L500M," boya koruma filmleri ve vinil wrap’ler için geliştirilmiştir; cam filminde önerilmez.

Filmi kaldır, konumlandır, hatasız sabitle—Q²M PPF Lift ile montajın kontrolü senin elinde!"
SGPM006,
SGPM001,
SGPM002,
SGPM003,
SGPM004,
SGPM005,
SGPM007,
SGPM009,
SGPM008,
Q2M-PPFIK," hafif artırın ve ısı tabancası kullanımını optimize edin. 
 
Profesyonel sonuçlar için doğru alet şart. GYEON Q²M PPF Installer Kit ile eksik hiçbir parçanız kalmaz; kesin kesim, baloncuksuz uygulama ve fabrika çıkışı görünüm artık elinizde!"
SGPM013,
SGPM014,
Q2M-ES98M,
Q2M-WCS98M,
79292,
76008,
79291,
Q2M-CLR500M," şart mı? 
A: Evet, püskürtülen film tozu/killenmiş kalıntıları taşıdığından yüzey durulanmalıdır. 
 
Sürtünmeden korkmadan, pürüzsüz bir boya hazırlığı için Q²M Clay Lube REDEFINED’i seyreltin, püskürtün ve kili kaydırın — kusursuz yüzeye giden en kaygan yol artık elinizde!"
Q2M-IR4000M,"Clay Mild Mekanik dekontaminasyon Iron sonrası kalan partikülleri alır 
GYEON Q²M Bathe+ SiO² takviyeli şampuan Temiz yüzeye hidrofobi ekler 
GYEON Q²M WheelBrush Yumuşak jant fırçası Jel formülü jant girintilerine iletir 
GYEON Q²M Prep Yağ & kimyasal kalıntı giderici Iron artığını cilaya geçmeden siler 
 
 
Sıkça Sorulan Sorular (FAQ) 
 
Q: Boya koruma / wax üzerindeki etkisi nedir? 
A: Hafifçe zayıflatabilir; kimyasal dekontaminasyon sonrası korumayı yenilemeniz önerilir. 
Q: Metalik trim ve çıtalarda güvenli mi? 
A: Evet, pH nötr yapısı sayesinde krom, alüminyum ve paslanmaz çelik yüzeylerde leke bırakmaz. 
Q: Ürün kurursa ne yapmalıyım? 
A: Serin ortamda çalışın; kuruduysa bol su ve mikrofiberle kalıntıyı çözerek durulayın. 
Q: Kil bara kaydırıcı olarak nasıl kullanılır? 
A: Yüzeye Iron püskürtüp ıslak haldeyken kimyasala dayanıklı kil barı nazikçe gezdirin, ardından durulayın. 
 
 
Demir tozu ve balata kalıntıları için en hızlı çözüm artık daha kokusuz, daha güvenli ve daha güçlü. GYEON Q²M Iron REDEFINED ile yüzeyleriniz tertemiz, dekontaminasyon süreciniz keyifli olsun!"
Q2M-IWCR4000M,
Q2M-CCE,"rebilir. 
S: Yumuşak boyalı araçta güvenli mi? 
C: Ağır kontaminasyon varsa kullanılabilir; polisaj planlıyorsanız ideal çözümdür. Hafif kirde Mild EVO tercih edin. 
 
Pürüzlü yüzeye veda edin, boya korumaya hazır olsun. Kil’i kaydır, kiri kaldır, pürüzsüzlüğü hisset — profesyonel detay artık herkesin elinde!"
700210,
70864,
76006,
MGPS-2019KM,r kolay!
MGPS-2019KH,
Q2M-TR4000M,
Q2M-BGYA1000M,
79293,
Q2M-WSYA1000M,
701350,
700888,
79304,
Q2M-QDYA1000M,
79301,
Q2M-CRYA250M,
Q2M-CMR500M,
Q2M-PPFMR500M,
26919.271.001,"uygulanabilir. Bu, ana kaplamanın ömrünü uzatır ve su iticilik özelliklerini anında canlandırır.


MENZERNA İLE TEKNOLOJİYİ HİSSEDİN, KORUNMAYA ALIŞIN!"
700097,
22070.261.001,"i

Menzerna Power Lock, saf polimer korumasının zirvesidir. Ancak beklentiniz farklı bir parlaklık karakteri veya daha hızlı bir iş akışı ise, diğer seçenekler daha uygun olabilir:
• Daha Sıcak ve ""Islak Görünüm"" İçin: Menzerna Sealing Wax Eğer polimerlerin keskin yansıması yerine, Carnauba içeren wax'ların sunduğu daha sıcak, derin ve ""ıslak"" bir parlaklığı tercih ediyorsanız, Menzerna Sealing Wax sizin için daha doğru bir alternatif olacaktır.
• Tek Adımda Hızlı Çözüm İçin: Menzerna 3in1 Eğer aracınızda hafif çizikler varsa ve tek bir adımda hem düzeltme yapmak hem de koruma sağlamak istiyorsanız, Menzerna 3in1 daha zaman tasarruflu bir çözümdür. Ancak koruma katmanı, adanmış bir sealant olan Power Lock kadar uzun ömürlü olmayacaktır.


Pro-Tip: Katmanlama ile Korumayı ve Ömrü Uzatın

Menzerna Power Lock, katmanlanabilir bir yapıya sahiptir. İlk katı uygulayıp sildikten sonra, en az 12 saat bekleyerek ürünün tam olarak kürleşmesini sağlayıp ikinci bir kat uygulayarak korumanın ömrünü ve dayanıklılığını önemli ölçüde artırabilirsiniz. Bu yöntem, özellikle zorlu kış koşulları öncesinde veya maksimum koruma isteyen kullanıcılar için tavsiye edilir.


MENZERNA İLE PARLAKLIĞI KORUMA ALTINA ALIN!"
22870.261.001,"

Pro-Tip: Katmanlama ile Korumayı ve Ömrü Uzatın

Menzerna Sealing Wax, katmanlanabilir bir yapıya sahiptir. İlk katı uygulayıp sildikten sonra, birkaç saat bekleyip ikinci bir kat uygulayarak korumanın ömrünü ve dayanıklılığını önemli ölçüde artırabilirsiniz. Bu yöntem, özellikle zorlu kış koşulları öncesinde veya daha uzun süreli koruma isteyen kullanıcılar için tavsiye edilir.


MENZERNA İLE PARLAKLIĞI KORUMA ALTINA ALIN!"
Q2-W175G,
74062,
71331,
70545,
75016,"ezle tek yönde yatay olarak silin, kiri beze alın. 

 
 
5. Parlatma 
İkinci temiz ve kuru bezle yüzeyi son bir kez silerek parlaklığı ortaya çıkarın."
Q2M-WCYA4000M,"vet, kaplamayı tazeler ve boncuklama (beading) etkisini geri kazandırır. Koruyucu üst katman görevi görür. 
Q: Ürünü yaymam gerekir mi? Bezle yaysam daha iyi olur mu? 
A: Gerekli değildir. Su ile aktifleşen formülü sayesinde yüzeye eşit şekilde yayılır. 
 
 
GYEON Q²M WetCoat, seramik bazlı koruma ve yüksek parlaklığı sadece birkaç dakikada sunarak detaylı bakım sürecini devrim niteliğinde kolaylaştırır. Püskürt, durula ve sonucu izle – profesyonel sonuçlar artık herkesin elinde!"
78779,
Q2-QV120M,
Q2M-CDYA1000M,
Q2M-TOTR1000M,"ajla tamamlanabilir.
Q: Mat/satin boyada iz bırakır mı?
A: Hayır. Aşındırıcı içermez; mat dokuyu parlatmaz. Durulama sonrası iz kalmaz.
Q: Uygulama sonrası paneli kurutmadan kaplama atabilir miyim?
A: Hayır. Total Remover’dan sonra panel Q²M Prep ile silinmeli ve tamamen kurulanmalı.
Q: Cilalı trim ve krom parçalar güvenli mi?
A: pH-nötr formül metal/trim üzerinde leke yapmaz; yine de 60 sn’den fazla bekletmeyin.

Eski korumaya veda edin, yepyeni bir yüzeye merhaba deyin — Q²M Total Remover ile spreyle, 30 saniyede reaksiyonu izleyin, durulayın ve aracınızı bir sonraki koruma adımı için mükemmel şekilde hazırlayın!"
75182,
74059,
700096,
373680,
406813,
533019,
SGGF179,
418072,
533020,
447129,
418080,
533021,
SGGF181,
418102,
513547,
SGGF273,yeti sağlar.
447706,
530632,
516112,
513547-01,
SGGC055,
532579,
SGGC086,
530537,
SGGS003,
GPRO6555,
336807,
399647,
81676800,
81771871,
81771874,
82671874,
487988,
492361,
SGGD166,
SGGF181-57,
SGGD053,
26935.099.001,
26931.099.001,
26934.099.001,
SGYC010,
SGYC011,
83371816,
83371602,
82671836,
83371836,
82671872,
79643,
8447,
79258,
8410,
445894,
417882,
458813,
81678,"Cleaning and Disinfection) 
• Uygulamalar: Döşeme, halı, banyo ve soyunma odası gibi alanların temizliği ve dezenfeksiyonu. 
• Bu Alanda Kullanılabilen Kimyasallar: 
• Yüzey Aktif Madde İçeren Kimyasallar: ""Genel yüzey temizleyici"" veya ""hijyenik yüzey dezenfektanı"" gibi ürünlerle kullanılabilir. 
• Alkol Bazlı Dezenfektanlar: Bu tür ürünlerle kullanımı sınırlıdır. Köpük yapıcı olduğu için kullanım önerilmez. 
 
• HVAC (İklimlendirme) Sistemleri 
• Uygulamalar: Klima serpantinlerinin ve filtrelerinin temizliği. 
• Bu Alanda Kullanılabilen Kimyasallar: 
• Asidik Temizleyiciler: ""Asidik serpantin temizleyici"" olarak belirtilen ürünlerle tam uyumludur. 
• Solvent ve Alkol Bazlı Temizleyiciler: Alkoller ve alifatik hidrokarbonlar (solvent türü) içeren ""klima temizleme spreyi"" gibi ürünlerle kullanımı sınırlıdır. Köpük yapıcı olduğu için kullanım önerilmez. 
 
 
+- Yarı Uyumlu Kimyasallar (Sınırlı ve Dikkatli Kullanım) 
(Bu gruptaki kimyasallarla kullanım öncesi, uyumluluk tablosu kontrol edilmeli ve zorunlu durumlarda, kısa süreli kullanım hedeflenmelidir) 
Köpük ihtiyacı olmadığı durumlarda kullanım önerilmez. 
• Alkoller: Bütanol, Etanol, Metanol gibi alkol türevleriyle kullanımı sınırlıdır. 
• Alifatik Hidrokarbonlar: Dekan, Heptan, Hekzan, Limonen, Pentan gibi solventlerle kullanımı sınırlıdır. 
• Aromatik Hidrokarbonlar: Toluen (@ maks.) ve Ksilen gibi aromatik hidrokarbonlarla kullanımı sınırlıdır. Genellikle boya inceltici veya güçlü çözücü olarak kullanılan bu kimyasallarla uzun süreli temas, püskürtücü contalarında yıpranmaya neden olabilir. Bu nedenle kullanımın ardından püskürtücünün hemen temizlenmesi tavsiye edilir. 
• Yağ ve Petrol Ürünleri: Mineral/Bitkisel Yağ, Dizel Yağı, Benzin, Gaz Yağı, White Spirit gibi ürünlerle kullanımı sınırlıdır. 
 
 
!!! Uyumsuz (Kullanıma Uygun Olmayan) Kimyasallar 
 
ÖNEMLİ UYARI: IK FOAM Pro 2+ püskürtücü, aşağıdaki kimyasal grupları için kesinlikle uygun değildir ve kullanımı ürüne kalıcı hasar verebilir: 
• Alkali ve Ketonlar: Aseton, Amonyak, Sodyum Hidroksit (Sudkostik), Potasyum Hidroksit (Potaskostik) ve Sodyum Hipoklorit gibi ürünler. Piyasada ""kostik"", ""sudkostik"", ""lavabo açıcı"", ""amonyaklı temizleyici"", ""çamaşır suyu"" ve ""aseton"" gibi isimlerle bilinen bu kimyasallar kullanılmamalıdır. 
 
 
Güvenlik ve Dayanıklılık: 
• 3 bar (43.5 psi) Basınca Ayarlı Emniyet Valfi: Aşırı basıncı otomatik olarak tahliye etme seçeneği sunarak güvenli bir kullanım sağlar. 
• Dayanıklı Malzeme: Çoğu asit, solvent, alkol, yağ ve petrol ürününe karşı dayanıklı contalara ve malzemelere sahiptir. 
• Sağlam ve Ergonomik Tasarım: Geniş doldurma ağzı, daha iyi denge için tasarlanmış taban ve ergonomik tutuş özellikleri ile kullanım kolaylığı sunar. 
• Yarı Saydam Hazne: Seviye göstergeli yarı saydam hazne sayesinde içerisindeki sıvı miktarını kolayca kontrol edebilirsiniz. 
• Emniyet Kilidi: Tetik mekanizmasındaki emniyet kilidi, istemsiz kullanımı engeller. 
• Aletsiz Bakım: Kolay manuel montaj ve demontaj özelliği sayesinde alet kullanmadan tam bakım yapılabilir. 
 
 
IK FOAM Pro 2+ Bakım Talimatları 
• Her kullanımdan sonra pompanın basıncını boşaltın ve su ile temizleyin. 
• En iyi köpük performansı için keçe filtrelerin temiz olduğundan emin olun. Tıkandığında su ile temizleyin veya yedekleriyle değiştirin. 
• Contaların ömrünü uzatmak için hareketli parçalara düzenli olarak yağ veya gres uygulayın. 
• Püskürtücüyü donma ve aşırı sıcaklıklardan (5°C - 30°C arası) korunaklı bir yerde saklayın. 
 
 
Bugün IK'ya geçin ve profesyonel temizlikte yeni bir standart belirleyin!"
81776,
82676,
81675,
84177,
84173,
81774,
84174,
81777,
83371,
18802,
18810,
26005,
20450,
21746,
123456,
79587-643,
79588-643,
700743,
Q2M-P-DB300M,
81686,
84170,
82672, PRO 9.
82679,
81781,
81773,
SGGD135,
81671901,
SGGC091,
79587-644,
79588-644,
79586-644,
79586-643,
18848,
24952,
20444,
20417,
20009,
19976,
19956,
20102,
19771," memeyi söküp metal cisim kullanmadan temizleyin.
 
 • Contaların ömrü için uyumsuz çözücülerden kaçının; gerekirse orijinal yedek parçalar kullanın.
 
 • 5–30°C arasında, güneş görmeyen yerde dik konumda muhafaza edin.
 
 
ENDÜSTRİNİN TERCİHİ EPOCA !"
23822,
23841,
12922,
12918,
13724,
P0140AK1#26263,
SGGD416,
SGGD415,
530882,
530883,
502561,
SGGD175,
SGGD291,
SGGD025,
SGGD285,
SGGD289,
Q2M-SCOV,
Q2M-SWCOV,
79472,
Q2M-KM,
KLIN-3251BL,
SGGD233,
481491,
532024,
405418,
530375,
463302,
486728,
SGGD402,
70868,
71706,
75138,
75140,
701908,
Q2M-TEYA1000M,
Q2M-TCYA1000M,
26942.099.001,
26900.223.011,
26900.223.012,
26900.223.010,
24017.261.080,
